"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
15.5,"F",0.230474860937419,0.0557463601666454,Inf,0.121214002741596,0.339735719133242,-0.266230303644492,0.065845267861268,Inf,-0.39528465720497,-0.137175950084014
16,"F",0.261945623882118,0.0560918142719126,Inf,0.15200768808166,0.371883559682577,-0.286290632359854,0.0662189372474571,Inf,-0.416077364459388,-0.15650390026032
16.5,"F",0.293416386826818,0.0564649107520205,Inf,0.182747195362589,0.404085578291046,-0.306350961075216,0.0666227225618468,Inf,-0.43692909784844,-0.175772824301992
17,"F",0.324887149771517,0.0568651055181123,Inf,0.213433590978947,0.436340708564087,-0.326411289790578,0.0670560797678523,Inf,-0.457838791080014,-0.194983788501143
17.5,"F",0.356357912716216,0.0572918307123447,Inf,0.244067987911655,0.468647837520778,-0.346471618505941,0.0675184394593206,Inf,-0.478805328138557,-0.214137908873324
18,"F",0.387828675660916,0.0577444981672834,Inf,0.274651538947701,0.50100581237413,-0.366531947221303,0.0680092101198134,Inf,-0.499827549673154,-0.233236344769451
18.5,"F",0.419299438605615,0.0582225027995563,Inf,0.305185430028702,0.533413447182528,-0.386592275936665,0.0685277813454479,Inf,-0.520904259314178,-0.252280292559151
19,"F",0.450770201550314,0.0587252259027652,Inf,0.335670873796916,0.565869529303713,-0.406652604652027,0.0690735269987549,Inf,-0.542034229854741,-0.271270979449312
19.5,"F",0.482240964495014,0.0592520383096714,Inf,0.36610910339747,0.598372825592557,-0.426712933367389,0.0696458082649311,Inf,-0.563216209240836,-0.290209657493942
20,"F",0.513711727439713,0.0598023033988178,Inf,0.396501366585493,0.630922088293933,-0.446773262082751,0.070243976585989,Inf,-0.584448926322164,-0.309097597843338
1,"N",0.955695160034717,0.0576925545841352,Inf,0.842619830873701,1.06877048919573,-0.106726768105204,0.0679524232074983,Inf,-0.239911070254124,0.0264575340437166
1.5,"N",0.908820196938761,0.0572541477356946,Inf,0.796604129411264,1.02103626446626,-0.0962060539489569,0.067477139878086,Inf,-0.228458817889777,0.036046709991863
2,"N",0.861945233842805,0.0568376955507869,Inf,0.750545397599011,0.9733450700866,-0.08568533979271,0.0670259287918126,Inf,-0.217053746255009,0.0456830666695889
2.5,"N",0.81507027074685,0.0564436839884942,Inf,0.704442682974641,0.925697858519058,-0.075164625636463,0.0665992792198685,Inf,-0.205696814303732,0.055367563030806
3,"N",0.768195307650894,0.0560725861089706,Inf,0.658295058357291,0.878095556944497,-0.0646439114802161,0.0661976660670858,Inf,-0.194388952832313,0.0651011298718813
3.5,"N",0.721320344554938,0.055724859692858,Inf,0.612101626513389,0.830539062596487,-0.0541231973239691,0.065821547617595,Inf,-0.183131060061143,0.0748846654132052
4,"N",0.674445381458982,0.0554009448178943,Inf,0.565861524906419,0.783029238011546,-0.0436024831677222,0.0654713632571048,Inf,-0.171923997170387,0.0847190308349421
4.5,"N",0.627570418363027,0.0551012614168487,Inf,0.519573930483277,0.735566906242776,-0.0330817690114752,0.0651475311937048,Inf,-0.160768583832836,0.0946050458098858
5,"N",0.580695455267071,0.054826206843318,Inf,0.473238064445224,0.688152846088918,-0.0225610548552283,0.0648504462008415,Inf,-0.14966559379023,0.104543484079773
5.5,"N",0.533820492171115,0.0545761534739354,Inf,0.426853196947471,0.640787787394759,-0.0120403406989814,0.0645804774075281,Inf,-0.138615750522139,0.114535069124176
6,"N",0.48694552907516,0.0543514463770807,Inf,0.380418651668421,0.593472406481898,-0.00151962654273444,0.0643379661618456,Inf,-0.127619723058509,0.12458046997304
6.5,"N",0.440070565979204,0.0541524010791458,Inf,0.33393381018771,0.546207321770698,0.00900108761351251,0.0641232239943054,Inf,-0.116678121987921,0.134680297214946
7,"N",0.393195602883248,0.0539793014597126,Inf,0.287398116111581,0.498993089654915,0.0195218017697595,0.063936530707628,Inf,-0.105791495713631,0.144835099253149
7.5,"N",0.346320639787292,0.0538323978065836,Inf,0.240811078884956,0.451830200689629,0.0300425159260064,0.0637781326188967,Inf,-0.0949603270082503,0.155045358860263
8,"N",0.299445676691337,0.0537119050604227,Inf,0.194172277231873,0.4047190761508,0.0405632300822533,0.0636482409788535,Inf,-0.084185029915626,0.165311490080133
8.5,"N",0.252570713595381,0.0536180012768037,Inf,0.147481362169823,0.357660065020939,0.0510839442385003,0.0635470305913138,Inf,-0.0734659470449399,0.17563383552194
9,"N",0.205695750499425,0.0535508263307361,Inf,0.100738059548823,0.310653441450027,0.0616046583947472,0.0634746386533005,Inf,-0.0628033472974157,0.18601266408691
9.5,"N",0.158820787403469,0.0535104808852981,Inf,0.0539421720728661,0.263699402734073,0.0721253725509942,0.0634311638335864,Inf,-0.0521974240602948,0.196448169162283
10,"N",0.111945824307514,0.0534970256419263,Inf,0.0070935807693223,0.216798067845705,0.0826460867072411,0.0634166656039406,Inf,-0.0416482938961024,0.206940467310585
10.5,"N",0.0650708612115579,0.0535104808852981,Inf,-0.0398077541190454,0.169949476542161,0.0931668008634881,0.0634311638335864,Inf,-0.031155995747801,0.217489597474777
11,"N",0.0181958981156023,0.0535508263307361,Inf,-0.0867617928349996,0.123153589066204,0.103687515019735,0.0634746386533005,Inf,-0.020720490672428,0.228095520711898
11.5,"N",-0.0286790649803534,0.0536180012768037,Inf,-0.133768416405911,0.0764102864452045,0.114208229175982,0.0635470305913139,Inf,-0.0103416621074583,0.238758120459422
12,"N",-0.0755540280763092,0.0537119050604227,Inf,-0.180827427535772,0.0297193713831539,0.124728943332229,0.0636482409788536,Inf,-1.931666565054e-05,0.249477203330108
12.5,"N",-0.122428991172265,0.0538323978065836,Inf,-0.227938552074602,-0.0169194302699281,0.135249657488476,0.0637781326188967,Inf,0.0102468145542191,0.260252500422733
13,"N",-0.169303954268221,0.0539793014597126,Inf,-0.275101441039888,-0.0635064674965536,0.145770371644723,0.063936530707628,Inf,0.0204570741613326,0.271083669128113
13.5,"N",-0.216178917364176,0.0541524010791458,Inf,-0.32231567315567,-0.110042161572683,0.15629108580097,0.0641232239943055,Inf,0.0306118761995364,0.281970295402403
14,"N",-0.263053880460132,0.0543514463770807,Inf,-0.36958075786687,-0.156527003053394,0.166811799957217,0.0643379661618457,Inf,0.0407117034414424,0.292911896472991
14.5,"N",-0.309928843556088,0.0545761534739353,Inf,-0.416896138779732,-0.202961548332444,0.177332514113464,0.0645804774075282,Inf,0.0507571042903057,0.303907923936621
15,"N",-0.356803806652044,0.0548262068433179,Inf,-0.46426119747389,-0.249346415830197,0.187853228269711,0.0648504462008416,Inf,0.0607486893347088,0.314957767204712
15.5,"N",-0.403678769747999,0.0551012614168486,Inf,-0.511675257627749,-0.29568228186825,0.198373942425957,0.0651475311937049,Inf,0.0706871276045963,0.326060757247319
16,"N",-0.450553732843955,0.0554009448178942,Inf,-0.559137589396519,-0.341969876291391,0.208894656582204,0.0654713632571049,Inf,0.0805731425795399,0.337216170584869
16.5,"N",-0.497428695939911,0.0557248596928579,Inf,-0.60664741398146,-0.388209977898362,0.219415370738451,0.0658215476175951,Inf,0.0904075080012769,0.348423233475626
17,"N",-0.544303659035867,0.0560725861089705,Inf,-0.65420390832947,-0.434403409742263,0.229936084894698,0.0661976660670859,Inf,0.100191043542601,0.359681126246796
17.5,"N",-0.591178622131822,0.0564436839884941,Inf,-0.701806209904031,-0.480551034359614,0.240456799050945,0.0665992792198686,Inf,0.109924610383676,0.370988987718215
18,"N",-0.638053585227778,0.0568376955507868,Inf,-0.749453421471573,-0.526653748983983,0.250977513207192,0.0670259287918127,Inf,0.119609106744893,0.382345919669491
18.5,"N",-0.684928548323734,0.0572541477356946,Inf,-0.797144615851231,-0.572712480796237,0.261498227363439,0.0674771398780861,Inf,0.129245463422619,0.393750991304259
